ID,length
O00231_1_44,44
O00567_447_594,148
O15265_395_520,126
O15273_95_167,73
O15488_301_474,174
O43143_1_119,119
O43237_310_492,183
O43290_1_160,160
O43602_255_365,111
O60231_289_396,108
O75334_962_1016,55
O75386_1_185,185
O75821_130_235,106
O95568_132_163,32
O95639_166_269,104
P01589_83_124,42
P02748_1_43,43
P05455_230_408,179
P06681_211_248,38
P07766_153_207,55
P08195_1_169,169
P08670_1_92,92
P08887_318_468,151
P12259_1776_1808,33
P14678_95_240,146
P17181_1_37,37
P20963_1_164,164
P23610_211_267,57
P25205_502_561,60
P28074_1_57,57
P30939_224_275,52
P30989_1_52,52
P31644_1_45,45
P32238_249_299,51
P32780_239_356,118
P35498_1_63,63
P42345_455_634,180
P48556_1_129,129
P49768_275_385,111
P49915_367_403,37
P52630_682_851,170
P52756_706_815,110
P54578_60_93,34
P54725_198_242,45
P54725_73_163,91
P78536_636_824,189
Q12789_447_619,173
Q13438_1_42,42
Q14203_1_31,31
Q14562_83_267,185
Q15022_251_431,181
Q15029_1_61,61
Q15904_1_53,53
Q16581_171_332,162
Q3B726_198_338,141
Q53H80_1_139,139
Q5SRE5_1495_1548,54
Q6P2P2_546_583,38
Q6P9B9_1_33,33
Q6P9B9_90_122,33
Q6UWK7_29_81,53
Q7L014_764_930,167
Q86SQ4_693_859,167
Q86TM6_525_617,93
Q86U44_327_370,44
Q86VB7_1_53,53
Q86XP3_1_195,195
Q8IWG1_521_626,106
Q8IY37_492_593,102
Q8N1G2_1_132,132
Q8N201_1_116,116
Q8NB78_234_265,32
Q8NCE0_133_283,151
Q8NDD1_1_166,166
Q8NFH5_253_326,74
Q8TCY5_65_172,108
Q8TDF6_163_197,35
Q8TE73_880_1015,136
Q8WUQ7_1_137,137
Q8WVC0_507_666,160
Q92918_152_187,36
Q93015_206_286,81
Q96B36_79_256,178
Q96DI7_1_56,56
Q96DZ1_1_48,48
Q96FT9_1_131,131
Q96HW7_1_50,50
Q96MG8_266_333,68
Q96NC0_1_64,64
Q96NG3_511_672,162
Q96P20_438_561,124
Q96QT6_105_269,165
Q96RY7_1117_1176,60
Q96S59_459_612,154
Q9BQ52_183_241,59
Q9BVW5_146_301,156
Q9BZ71_275_392,118
Q9C0C9_355_543,189
Q9C0G6_2741_2776,36
Q9C0G6_475_517,43
Q9GZN0_231_284,54
Q9H6E5_634_768,135
Q9H9F9_375_436,62
Q9HBM6_130_251,122
Q9HCU8_1_30,30
Q9NQS5_223_316,94
Q9NYC9_3094_3168,75
Q9NZM3_1104_1136,33
Q9P013_77_190,114
Q9P021_1_43,43
Q9UBU8_40_195,156
Q9UHD9_1_33,33
Q9UI10_1_175,174
Q9UJV9_1_127,127
Q9UM47_1554_1586,33
Q9UNS1_518_573,56
Q9Y2X3_402_529,128
Q9Y388_125_322,198
Q9Y5A7_529_572,44
Q9Y653_547_693,147
